"bug.id","temp.avg","temp.var","treatment","instar","mass.wand","mass.48em","num.ovp","suc.ovp","instar.em","bled.em","num.em","num.coc","num.fail.spin","num.ecl","num.unem","load","date.hatch.j","date.died.j","date.3.j","date.4.j","date.5.j","date.wand.j","date.ovp.j","date.em.j","date.ecl.j","ttecl","ttem.w","ps.em","ps.ecl","tt3","tt4","tt5","ttwand","ttem.h","diet","ttend","died","died.bf5","date.cull.j","mass.cull","left_out","ttcull","mongo","end.class","expt","keep","keep2","mass","age"
"1",30,0,"control","3",8479.89,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,23,0,26,29,31,34,NA,0,NA,NA,NA,0,0,3,6,8,11,NA,"col",11,0,0,0,NA,NA,NA,0,"wand","repl",1,1,38.09,3
"1",30,0,"control","4",8479.89,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,23,0,26,29,31,34,NA,0,NA,NA,NA,0,0,3,6,8,11,NA,"col",11,0,0,0,NA,NA,NA,0,"wand","repl",1,1,545.61,6
"1",30,0,"control","5",8479.89,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,23,0,26,29,31,34,NA,0,NA,NA,NA,0,0,3,6,8,11,NA,"col",11,0,0,0,NA,NA,NA,0,"wand","repl",1,1,1447.48,8
"1",30,0,"control","end",8479.89,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,23,0,26,29,31,34,NA,0,NA,NA,NA,0,0,3,6,8,11,NA,"col",11,0,0,0,NA,NA,NA,0,"wand","repl",1,1,8479.89,11
"10",30,10,"control","3",8683.6,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,23,0,27,30,34,39,NA,0,NA,NA,NA,0,0,4,7,11,16,NA,"col",16,0,0,0,NA,NA,NA,0,"wand","repl",1,1,28.97,4
"10",30,10,"control","4",8683.6,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,23,0,27,30,34,39,NA,0,NA,NA,NA,0,0,4,7,11,16,NA,"col",16,0,0,0,NA,NA,NA,0,"wand","repl",1,1,202.23,7
"10",30,10,"control","5",8683.6,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,23,0,27,30,34,39,NA,0,NA,NA,NA,0,0,4,7,11,16,NA,"col",16,0,0,0,NA,NA,NA,0,"wand","repl",1,1,1631.03,11
"10",30,10,"control","end",8683.6,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,23,0,27,30,34,39,NA,0,NA,NA,NA,0,0,4,7,11,16,NA,"col",16,0,0,0,NA,NA,NA,0,"wand","repl",1,1,8683.6,16
"101",30,0,"control","3",11613.86,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,24,0,28,30,33,37,NA,0,NA,NA,NA,0,0,4,6,9,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,58.23,4
"101",30,0,"control","4",11613.86,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,24,0,28,30,33,37,NA,0,NA,NA,NA,0,0,4,6,9,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,240.72,6
