"num","p5.meas","treatment","temp.avg","temp.var","date.hatch","date.died","date.ovp","num.ovp","suc.ovp","date.3","mass.3","date.4","mass.4","date.5","mass.5","date.p5.1","date.p5.2","date.p5.3","date.cull","mass.cull","inst.6","date.wand","mass.wand","date.em","instar.em","bled.em","mass.48em","date.ecl","num.em","num.coc","num.fail.spin","num.unem","num.ecl","load","mongo","left_out","notes","diss.notes","date.hatch.j","date.died.j","date.ovp.j","date.3.j","date.4.j","date.5.j","date.p5.1.j","date.p5.2.j","date.p5.3.j","date.cull.j","date.wand.j","date.em.j","date.ecl.j","died","died.bf5","tt3","tt4","tt5","ttwand","ttem.h","ttcull","ttem.w","ttecl","ps.em","ps.ecl","ttend","end.class","early_cull","ttp5.1","ttp5.2","ttp5.3","mass","age"
104,"end","para",30,"10","1/24/20",NA,"1/28/20",2,NA,"1/28/20",62.98,"2/1/20",388.82,"2/5/20",1739.22,"2/12/20",NA,NA,"2/16/20",5029.28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. almost dead before p5.2, weighed and culled early 2/16/20",NA,24,0,28,28,32,36,43,NA,NA,47,0,0,NA,0,0,4,8,12,NA,NA,23,NA,NA,0,0,23,"cull",1,19,NA,NA,5029.28,23
104,"p5.1","para",30,"10","1/24/20",NA,"1/28/20",2,NA,"1/28/20",62.98,"2/1/20",388.82,"2/5/20",1739.22,"2/12/20",NA,NA,"2/16/20",5029.28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. almost dead before p5.2, weighed and culled early 2/16/20",NA,24,0,28,28,32,36,43,NA,NA,47,0,0,NA,0,0,4,8,12,NA,NA,23,NA,NA,0,0,23,"cull",1,19,NA,NA,5357.97,19
104,"p5.2","para",30,"10","1/24/20",NA,"1/28/20",2,NA,"1/28/20",62.98,"2/1/20",388.82,"2/5/20",1739.22,"2/12/20",NA,NA,"2/16/20",5029.28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. almost dead before p5.2, weighed and culled early 2/16/20",NA,24,0,28,28,32,36,43,NA,NA,47,0,0,NA,0,0,4,8,12,NA,NA,23,NA,NA,0,0,23,"cull",1,19,NA,NA,NA,NA
104,"p5.3","para",30,"10","1/24/20",NA,"1/28/20",2,NA,"1/28/20",62.98,"2/1/20",388.82,"2/5/20",1739.22,"2/12/20",NA,NA,"2/16/20",5029.28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. almost dead before p5.2, weighed and culled early 2/16/20",NA,24,0,28,28,32,36,43,NA,NA,47,0,0,NA,0,0,4,8,12,NA,NA,23,NA,NA,0,0,23,"cull",1,19,NA,NA,NA,NA
108,"end","para",30,"10","1/25/20",NA,"1/29/20",1,NA,"1/29/20",36.92,"2/1/20",174.88,"2/5/20",1186.61,"2/12/20","2/19/20",NA,NA,NA,NA,"2/19/20",10612.72,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. wandered at p5.2 (2/19/20). Frozen at -80 for future analyses",NA,25,0,29,29,32,36,43,50,NA,0,50,0,NA,0,0,4,7,11,25,NA,NA,NA,NA,0,0,25,"wand",0,18,25,NA,10612.72,25
108,"p5.1","para",30,"10","1/25/20",NA,"1/29/20",1,NA,"1/29/20",36.92,"2/1/20",174.88,"2/5/20",1186.61,"2/12/20","2/19/20",NA,NA,NA,NA,"2/19/20",10612.72,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. wandered at p5.2 (2/19/20). Frozen at -80 for future analyses",NA,25,0,29,29,32,36,43,50,NA,0,50,0,NA,0,0,4,7,11,25,NA,NA,NA,NA,0,0,25,"wand",0,18,25,NA,10022.96,18
108,"p5.2","para",30,"10","1/25/20",NA,"1/29/20",1,NA,"1/29/20",36.92,"2/1/20",174.88,"2/5/20",1186.61,"2/12/20","2/19/20",NA,NA,NA,NA,"2/19/20",10612.72,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. wandered at p5.2 (2/19/20). Frozen at -80 for future analyses",NA,25,0,29,29,32,36,43,50,NA,0,50,0,NA,0,0,4,7,11,25,NA,NA,NA,NA,0,0,25,"wand",0,18,25,NA,10612.72,25
108,"p5.3","para",30,"10","1/25/20",NA,"1/29/20",1,NA,"1/29/20",36.92,"2/1/20",174.88,"2/5/20",1186.61,"2/12/20","2/19/20",NA,NA,NA,NA,"2/19/20",10612.72,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. wandered at p5.2 (2/19/20). Frozen at -80 for future analyses",NA,25,0,29,29,32,36,43,50,NA,0,50,0,NA,0,0,4,7,11,25,NA,NA,NA,NA,0,0,25,"wand",0,18,25,NA,NA,NA
112,"end","para",30,"10","1/25/20",NA,"1/29/20",1,NA,"1/29/20",41.03,"2/2/20",78.91,"2/7/20",692,"2/14/20","2/21/20",NA,"2/25/20",1189.87,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"head capsule damaged at ovp. molted to 6th 2/17/20. mass: 1857.85. did not molt well, could not remove cuticle over whole body. . sickly on 2/25/20. culled early",NA,25,0,29,29,33,38,45,52,NA,56,0,0,NA,0,0,4,8,13,NA,NA,31,NA,NA,0,0,31,"cull",1,20,27,NA,1189.87,31
112,"p5.1","para",30,"10","1/25/20",NA,"1/29/20",1,NA,"1/29/20",41.03,"2/2/20",78.91,"2/7/20",692,"2/14/20","2/21/20",NA,"2/25/20",1189.87,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"head capsule damaged at ovp. molted to 6th 2/17/20. mass: 1857.85. did not molt well, could not remove cuticle over whole body. . sickly on 2/25/20. culled early",NA,25,0,29,29,33,38,45,52,NA,56,0,0,NA,0,0,4,8,13,NA,NA,31,NA,NA,0,0,31,"cull",1,20,27,NA,2371.31,20
