"num","treatment","temp.var","instar","temp.avg","date.hatch","date.died","date.ovp","num.ovp","suc.ovp","date.3","date.4","date.5","date.p5.1","mass.p5.1","date.p5.2","mass.p5.2","date.p5.3","mass.p5.3","date.cull","mass.cull","inst.6","date.wand","mass.wand","date.em","instar.em","bled.em","mass.48em","date.ecl","num.em","num.coc","num.fail.spin","num.unem","num.ecl","load","mongo","left_out","notes","diss.notes","date.hatch.j","date.died.j","date.ovp.j","date.3.j","date.4.j","date.5.j","date.p5.1.j","date.p5.2.j","date.p5.3.j","date.cull.j","date.wand.j","date.em.j","date.ecl.j","died","died.bf5","tt3","tt4","tt5","ttwand","ttem.h","ttcull","ttem.w","ttecl","ps.em","ps.ecl","ttend","end.class","mass","age"
1,"control","0","3",30,"1/23/20",NA,NA,NA,NA,"1/26/20","1/29/20","1/31/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/3/20",8479.89,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,23,0,NA,26,29,31,NA,NA,NA,0,34,0,NA,0,0,3,6,8,11,NA,NA,NA,NA,0,0,11,"wand",38.09,3
1,"control","0","4",30,"1/23/20",NA,NA,NA,NA,"1/26/20","1/29/20","1/31/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/3/20",8479.89,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,23,0,NA,26,29,31,NA,NA,NA,0,34,0,NA,0,0,3,6,8,11,NA,NA,NA,NA,0,0,11,"wand",545.61,6
1,"control","0","5",30,"1/23/20",NA,NA,NA,NA,"1/26/20","1/29/20","1/31/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/3/20",8479.89,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,23,0,NA,26,29,31,NA,NA,NA,0,34,0,NA,0,0,3,6,8,11,NA,NA,NA,NA,0,0,11,"wand",1447.48,8
1,"control","0","end",30,"1/23/20",NA,NA,NA,NA,"1/26/20","1/29/20","1/31/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/3/20",8479.89,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,23,0,NA,26,29,31,NA,NA,NA,0,34,0,NA,0,0,3,6,8,11,NA,NA,NA,NA,0,0,11,"wand",8479.89,11
10,"control","10","3",30,"1/23/20",NA,NA,NA,NA,"1/27/20","1/30/20","2/3/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/8/20",8683.6,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 5th-6th prolegs",NA,23,0,NA,27,30,34,NA,NA,NA,0,39,0,NA,0,0,4,7,11,16,NA,NA,NA,NA,0,0,16,"wand",28.97,4
10,"control","10","4",30,"1/23/20",NA,NA,NA,NA,"1/27/20","1/30/20","2/3/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/8/20",8683.6,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 5th-6th prolegs",NA,23,0,NA,27,30,34,NA,NA,NA,0,39,0,NA,0,0,4,7,11,16,NA,NA,NA,NA,0,0,16,"wand",202.23,7
10,"control","10","5",30,"1/23/20",NA,NA,NA,NA,"1/27/20","1/30/20","2/3/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/8/20",8683.6,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 5th-6th prolegs",NA,23,0,NA,27,30,34,NA,NA,NA,0,39,0,NA,0,0,4,7,11,16,NA,NA,NA,NA,0,0,16,"wand",1631.03,11
10,"control","10","end",30,"1/23/20",NA,NA,NA,NA,"1/27/20","1/30/20","2/3/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/8/20",8683.6,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 5th-6th prolegs",NA,23,0,NA,27,30,34,NA,NA,NA,0,39,0,NA,0,0,4,7,11,16,NA,NA,NA,NA,0,0,16,"wand",8683.6,16
101,"control","0","3",30,"1/24/20",NA,NA,NA,NA,"1/28/20","1/30/20","2/2/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/6/20",11613.86,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,24,0,NA,28,30,33,NA,NA,NA,0,37,0,NA,0,0,4,6,9,13,NA,NA,NA,NA,0,0,13,"wand",58.23,4
101,"control","0","4",30,"1/24/20",NA,NA,NA,NA,"1/28/20","1/30/20","2/2/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/6/20",11613.86,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,24,0,NA,28,30,33,NA,NA,NA,0,37,0,NA,0,0,4,6,9,13,NA,NA,NA,NA,0,0,13,"wand",240.72,6
