"num","treatment","temp.avg","temp.var","date.hatch","date.died","date.ovp","num.ovp","suc.ovp","date.3","mass.3","date.4","mass.4","date.5","mass.5","date.p5.1","mass.p5.1","date.p5.2","mass.p5.2","date.p5.3","mass.p5.3","date.cull","mass.cull","inst.6","date.wand","mass.wand","date.em","instar.em","bled.em","mass.48em","date.ecl","num.em","num.coc","num.fail.spin","num.unem","num.ecl","load","mongo","left_out","notes","diss.notes","date.hatch.j","date.died.j","date.ovp.j","date.3.j","date.4.j","date.5.j","date.p5.1.j","date.p5.2.j","date.p5.3.j","date.cull.j","date.wand.j","date.em.j","date.ecl.j","died","died.bf5","tt3","tt4","tt5","ttwand","ttem.h","ttcull","ttem.w","ttecl","ps.em","ps.ecl","ttend","mass.end","end.class"
1,"control",30,"0","1/23/20",NA,NA,NA,NA,"1/26/20",38.09,"1/29/20",545.61,"1/31/20",1447.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/3/20",8479.89,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,23,0,NA,26,29,31,NA,NA,NA,0,34,0,NA,0,0,3,6,8,11,NA,NA,NA,NA,0,0,11,8479.89,"wand"
2,"control",30,"10","1/23/20",NA,NA,NA,NA,"1/27/20",68.77,"1/29/20",269.65,"2/3/20",2187.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/8/20",10693.13,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 5th-6th prolegs",NA,23,0,NA,27,29,34,NA,NA,NA,0,39,0,NA,0,0,4,6,11,16,NA,NA,NA,NA,0,0,16,10693.13,"wand"
3,"para",30,"0","1/23/20",NA,"1/27/20",1,NA,"1/27/20",48.43,"1/30/20",413.2,"2/3/20",3023.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/6/20",5,0,4016.15,"2/10/20",118,91,27,111,77,229,NA,NA,NA,"2 immature 2nd instars counted in num unem. some 2nd instars look stuck in their cuticle",23,0,27,27,30,34,NA,NA,NA,0,0,37,41,0,0,4,7,11,NA,14,NA,10,14,0.51528384279476,0.336244541484716,14,4016.15,"em"
4,"para",30,"10","1/23/20",NA,"1/27/20",3,NA,"1/27/20",78.44,"1/30/20",445.2,"2/2/20",1520.72,"2/10/20",10339.66,"2/16/20",12127.65,"2/24/20",9085.55,NA,NA,NA,"2/24/20",9085.55,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"weighed a day late for p5.1--kept on original schedule for other weighings. wandered 2/24/20, put in pupae box to see if it pupates",NA,23,0,27,27,30,33,41,47,55,0,55,0,NA,0,0,4,7,10,32,NA,NA,NA,NA,0,0,32,9085.55,"wand"
5,"control",30,"0","1/23/20",NA,NA,NA,NA,"1/27/20",50.35,"1/29/20",317.79,"2/1/20",4241.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/4/20",9569.97,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,23,0,NA,27,29,32,NA,NA,NA,0,35,0,NA,0,0,4,6,9,12,NA,NA,NA,NA,0,0,12,9569.97,"wand"
6,"control",30,"10","1/23/20",NA,NA,NA,NA,"1/27/20",32.23,"1/30/20",226.2,"2/3/20",1403.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/8/20",7896.71,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",NA,23,0,NA,27,30,34,NA,NA,NA,0,39,0,NA,0,0,4,7,11,16,NA,NA,NA,NA,0,0,16,7896.71,"wand"
7,"para",30,"0","1/23/20",NA,"1/27/20",1,NA,"1/27/20",41.58,"1/30/20",250.96,"2/3/20",1958.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/5/20",5,0,2399.19,"2/10/20",85,85,0,24,80,109,NA,NA,NA,"4 immature 2nds counted in num unem",23,0,27,27,30,34,NA,NA,NA,0,0,36,41,0,0,4,7,11,NA,13,NA,9,14,0.779816513761468,0.73394495412844,13,2399.19,"em"
9,"control",30,"0","1/23/20",NA,NA,NA,NA,"1/27/20",45.36,"1/29/20",235.45,"2/1/20",3266.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/4/20",10551.37,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,23,0,NA,27,29,32,NA,NA,NA,0,35,0,NA,0,0,4,6,9,12,NA,NA,NA,NA,0,0,12,10551.37,"wand"
10,"control",30,"10","1/23/20",NA,NA,NA,NA,"1/27/20",28.97,"1/30/20",202.23,"2/3/20",1631.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/8/20",8683.6,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from 5th-6th prolegs",NA,23,0,NA,27,30,34,NA,NA,NA,0,39,0,NA,0,0,4,7,11,16,NA,NA,NA,NA,0,0,16,8683.6,"wand"
12,"para",30,"10","1/23/20",NA,"1/27/20",1,NA,"1/27/20",58.18,"1/30/20",274.11,"2/3/20",1576.91,"2/10/20",9744.56,"2/17/20",10466.31,NA,NA,"2/22/20",8769.46,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,"did not shed fully at molt to 5th, removed cuticle from all prolegs. close to death 2/22/20, culled early. frozen for dissection",NA,23,0,27,27,30,34,41,48,NA,53,0,0,NA,0,0,4,7,11,NA,NA,30,NA,NA,0,0,30,8769.46,"cull"
