num,treatment,temp.avg,temp.var,date.hatch,date.died,date.ovp,num.ovp,suc.ovp,date.3,mass.3,date.4,mass.4,date.5,mass.5,date.p5.1,mass.p5.1,date.p5.2,mass.p5.2,date.p5.3,mass.p5.3,date.cull,mass.cull,inst.6,date.wand,mass.wand,date.em,instar.em,bled.em,mass.48em,date.ecl,num.em,num.coc,num.fail.spin,num.unem,num.ecl,load,mongo,left_out,notes,diss.notes
1,control,30,0,1/23/20,,,,,1/26/20,38.09,1/29/20,545.61,1/31/20,1447.48,,,,,,,,,,2/3/20,8479.89,,,,,,0,,,,,0,,,,
2,control,30,10,1/23/20,,,,,1/27/20,68.77,1/29/20,269.65,2/3/20,2187.28,,,,,,,,,,2/8/20,10693.13,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 5th-6th prolegs",
3,para,30,0,1/23/20,,1/27/20,1,,1/27/20,48.43,1/30/20,413.2,2/3/20,3023.81,,,,,,,,,,,,2/6/20,5,0,4016.15,2/10/20,118,91,27,111,77,229,,,,2 immature 2nd instars counted in num unem. some 2nd instars look stuck in their cuticle
4,para,30,10,1/23/20,,1/27/20,3,,1/27/20,78.44,1/30/20,445.2,2/2/20,1520.72,2/10/20,10339.66,2/16/20,12127.65,2/24/20,9085.55,,,,2/24/20,9085.55,,,,,,0,,,,,0,,,"weighed a day late for p5.1--kept on original schedule for other weighings. wandered 2/24/20, put in pupae box to see if it pupates",
5,control,30,0,1/23/20,,,,,1/27/20,50.35,1/29/20,317.79,2/1/20,4241.08,,,,,,,,,,2/4/20,9569.97,,,,,,0,,,,,0,,,,
6,control,30,10,1/23/20,,,,,1/27/20,32.23,1/30/20,226.2,2/3/20,1403.95,,,,,,,,,,2/8/20,7896.71,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",
7,para,30,0,1/23/20,,1/27/20,1,,1/27/20,41.58,1/30/20,250.96,2/3/20,1958.08,,,,,,,,,,,,2/5/20,5,0,2399.19,2/10/20,85,85,0,24,80,109,,,,4 immature 2nds counted in num unem
8,para,30,10,1/23/20,2/8/20,1/27/20,1,,1/27/20,40,1/30/20,132.09,2/4/20,907.15,,,,,,,,,,,,,,,,,0,,,,,0,,,"head capsule damaged during ovp. did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",
9,control,30,0,1/23/20,,,,,1/27/20,45.36,1/29/20,235.45,2/1/20,3266.16,,,,,,,,,,2/4/20,10551.37,,,,,,0,,,,,0,,,,
10,control,30,10,1/23/20,,,,,1/27/20,28.97,1/30/20,202.23,2/3/20,1631.03,,,,,,,,,,2/8/20,8683.6,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 5th-6th prolegs",
