num,bug.id,treat,temp.avg,temp.var,date.died,date.mass.1,date.5,date.6,mass.6,daysince.5.6,mass.1,daysince.5.1,date.mass.2,mass.2,daysince.5.2,after.10,final.mass,notes,,,
185,30.10_p_2,para,30,10,,8/17/17,8/2/17,8/7/17,3626.82,5,16227.39,15,,,,f,,frozen to be diss. molted to 6th instar 8/7/17. Mass: 3626.82. removed cuticle from 1-6 prolegs after molt to 6th. frozen 8/17/17 for dissection,25,30+/-10,
188,30.10_p_3,para,30,10,,8/17/17,8/9/17,8/19/17,1244.59,10,1111.62,8,8/29/17,4596.79,20,30.10,,"removed cuticle from 5th and 6th prolegs 1 day after molt to 4th. Molted to 6th instar 8/19/17. Mass: 1244.59. did not shed cuticle past thorcic legs. removed some, but could not remove all. Died 9/10/17. frozen for dissection",224,271,
190,30.10_p_4,para,30,10,9/1/17,8/17/17,8/5/17,8/15/17,2363.37,10,5396.06,12,8/29/17,17342.04,24,25.00,15365.44,"weighed 15365.44 upon death. removed cuticle from 6th prolegs after molt to 5th. molted into 6th 8/15/17, weight = 2363.37. died 9/1/17. saved for dissection",311,313,
193,30.10_p_7,para,30,10,,8/17/17,8/4/17,8/10/17,2714.8,6,10784.42,13,8/29/17,11780.82,25,25.00,10367.23,"seems to be bleeding from unspecified wound (every where?) on 8/29/17. removed cuticle from 6th prolegs after molt to 4th. molted into 6th 8/10/17, weight = 2714.80. removed cuticle from whole body below head capsule 1 day after molt to 6th. died 9/5/17. Weighed: 10367.23. frozen for dissection",190,308,
194,30.10_p_8,para,30,10,,8/17/17,8/3/17,,,,5403.08,14,8/29/17,5709.82,26,25.00,,"died 9/9/17. Frozen for dissection. had weird brown spots on cuticle, not sure what caused them",205,195,found 2 things that could have been mel. eggs but unlikely.
195,30.10_p_9,para,30,10,8/20/17,8/17/17,8/4/17,,,,965.69,13,,,,30.10,,removed cuticle from 6th prolegs after molt to 4th,256,227,
221,30.10_p_10,para,30,10,8/23/17,8/17/17,8/5/17,8/17/17,1167.75,12,1166.14,12,,,,25.00,,"no larvae, looked under dissecting scope and could identify anything resembeling wasp larvae or egg. removed cuticle from 6th prolegs after molt to 4th and molt to 5th. Molted to 6th instar 8/17/17. Mass: 1167.75. Did not shed cuticle past prolegs, did not shed head capsule at molt to 6th. Could not remove",194,296,
224,30.10_p_11,para,30,10,,8/17/17,8/5/17,,,,8129.37,12,8/29/17,9168.16,24,25.00,,removed cuticle from 6th prolegs after molt to 5th,302,247,
227,30.10_p_12,para,30,10,,8/17/17,8/4/17,,,,3119.18,13,8/29/17,2171.17,25,30.10,,removed cuticle from 6th prolegs after molt to 4th. died 9/4/17. frozen for dissection,221,253,
247,30.10_p_14,para,30,10,8/25/17,8/17/17,8/4/17,8/11/17,4178.12,7,3413.57,13,,,,30.10,,"molted to 6th instar 8/11/17. Mass: 4178.12. Removed cuticle from whole body--caterpillar was distressed, threw up everywhere. Could not remove all cuticle. Was kept for observance in 30+/-10, died 8/25/17 (frozen to disect)",360,366,
250,30.10_p_15,para,30,10,,8/17/17,8/2/17,,,,2771.49,15,,,,f,,"Frozen 8/17/17 for dissection. No wasp larvae found, maybe melanized wasp eggs?",357,374,
253,30.10_p_16,para,30,10,,8/17/17,8/5/17,,,,2687.44,12,8/29/17,2841.45,24,30.10,,"removed cuticle from 6th prolegs after molt to 5th. Died 9/1/17 gross, but saved for dissection",393,349,
256,30.10_p_17,para,30,10,,8/17/17,8/4/17,,,,10933.66,13,8/29/17,10104.33,25,25.00,,,348,188,
271,30.10_p_22,para,30,10,,8/17/17,8/5/17,,,,6281.58,12,8/29/17,5971.98,24,30.10,,died 9/4/17. frozen for dissection,,,
296,30.10_p_23,para,30,10,,8/17/17,8/4/17,,,,11763.65,13,,,,30.10,,"wandered--unsuccesful ovp, or dead wasp eggs? put in pupae box for now, maybe will dissect. Failed to pupate--larval pupal intermediate. Frozen for dissection 8/27/17",,,
302,30.10_p_25,para,30,10,,8/17/17,8/4/17,8/9/17,2780.88,5,16537.41,13,8/29/17,15978.28,25,25.00,,"molted into 6th instar 8/9/17, weight = 2780.88. died 9/9/17--frozen for dissection",,,
308,30.10_p_27,para,30,10,,8/17/17,8/6/17,8/15/17,837.92,9,824.77,11,8/29/17,1576.53,23,30.10,,"did not shed cuticle past 1st prolegs after molt to 4th, removed remaining cuticle from 4th molt on 8/4/17. removed most of cuticle from 1-6 prolegs after molt to 5th. molted into 6th 8/15/17, weight = 837.92",,,
311,30.10_p_28,para,30,10,,8/17/17,8/3/17,,,,9259.15,14,8/29/17,8372.76,26,25.00,,,,,
313,30.10_p_29,para,30,10,8/29/17,8/17/17,8/3/17,8/8/17,2759.85,5,12584.08,14,8/29/17,15113.89,26,30.10,15113.89,"died on 8/29/17, weighed after death. FRozen for dissection. removed cuticle from 5th and 6th prolegs after molt to 4th. molted to 6th instar 8/8/17. mass: 2759.85. removed cuticle from 5th and 6th prolegs after molt to 6th",,,
314,30.10_p_30,para,30,10,8/27/17,8/17/17,8/4/17,,,,1982.57,13,,,,30.10,,frozen 8/27/17 after death to dissect,,,
